102	Says the Republican tax plan "helps families" like one in which a woman lost her job and then lost her life savings fighting her husbands cancer.	2697	Says the Republican tax plan "helps families" like one in which a woman lost her job and then lost her life savings fighting her husbands cancer.
148	We essentially repealed Obamacare because we got rid of the individual mandate... and that was a primary source of funding of Obamacare.	2576	We essentially repealed Obamacare because we got rid of the individual mandate... and that was a primary source of funding of Obamacare.
151	Obama "said (the individual mandate) wasn't a tax."	10852	Obama "said (the individual mandate) wasn't a tax."
151	Millions of Americans are "paying more and getting less" under Obamacare.	8107	Millions of Americans are "paying more and getting less" under Obamacare.
161	We essentially repealed Obamacare because we got rid of the individual mandate... and that was a primary source of funding of Obamacare.	2576	We essentially repealed Obamacare because we got rid of the individual mandate... and that was a primary source of funding of Obamacare.
172	Says Bill Nelson "voted to raise our taxes 150 times."	10554	Says Bill Nelson "voted to raise our taxes 150 times."
172	Says he has never voted for raising taxes.	9954	Says he has never voted for raising taxes.
173	Says that on the tax reform law, Democratic leaders "are promising to take it all away."	2124	Says that on the tax reform law, Democratic leaders "are promising to take it all away."
173	Nancy Pelosi vows Democrats will raise taxes if they take back the House.	2211	Nancy Pelosi vows Democrats will raise taxes if they take back the House.
178	Washington Heidi supports sanctuary cities, where illegal immigrants can be released on our streets, like this criminal, who was let go and then sexually assaulted a child.	1453	Washington Heidi supports sanctuary cities, where illegal immigrants can be released on our streets, like this criminal, who was let go and then sexually assaulted a child.
208	NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.	2872	NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.
209	NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.	2872	NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.
291	Every single Democrat in the U.S. Senate has signed up for the open borders, and it's a bill, it's called the open borders bill.	1506	Every single Democrat in the U.S. Senate has signed up for the open borders, and it's a bill, it's called the open borders bill.
291	Says HillaryClintons immigration platform would "create totally open borders."	4789	Says HillaryClintons immigration platform would "create totally open borders."
291	Hillary Clinton is for open borders.	4675	Hillary Clinton is for open borders.
291	Says Hillary Clinton "wants to have open borders."	4098	Says Hillary Clinton "wants to have open borders."
291	Says Beto ORourke wants "open borders and wants to take our guns."	2308	Says Beto ORourke wants "open borders and wants to take our guns."
291	Voting for "any Democrat" gets you "socialism ... undefended open borders ... immediate tax increases ... 100 percentgovernmentrun health care ..."	1412	Voting for "any Democrat" gets you "socialism ... undefended open borders ... immediate tax increases ... 100 percentgovernmentrun health care ..."
291	Says Dan McCready "believes in open borders and sanctuary cities."	216	Says Dan McCready "believes in open borders and sanctuary cities."
295	Says "Nancy Pelosi came out in favor of MS13."	2035	Says "Nancy Pelosi came out in favor of MS13."
295	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!	3414	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
300	Obama voted "to cut off funding for our American troops on the battlefield."	16020	Obama voted "to cut off funding for our American troops on the battlefield."
300	Obama "voted against funding our troops."	16121	Obama "voted against funding our troops."
302	Says Mark Pocans proposal to eliminate the U.S. Immigration and Customs Enforcement (ICE) would "eliminate border enforcement."	1862	Says Mark Pocans proposal to eliminate the U.S. Immigration and Customs Enforcement (ICE) would "eliminate border enforcement."
312	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
312	Says of MS13 gang members, "We are getting them out of our country by the thousands."	2073	Says of MS13 gang members, "We are getting them out of our country by the thousands."
312	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!	3414	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
312	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
314	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
315	Says of MS13 gang members, "We are getting them out of our country by the thousands."	2073	Says of MS13 gang members, "We are getting them out of our country by the thousands."
315	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
315	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!	3414	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
315	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
324	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
